Mach,A,Cl,Cd,Cm
0.001,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.03,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.06,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.09,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.12,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.15,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.18,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.21,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.24,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.27,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.3,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.33,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.36,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.39,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.42,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.45,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.48,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.51,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.54,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.57,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.6,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226494489176564
0.63,4.9001035603838,0.00105037681886758,0.0251366461268611,0.00226451167373362
0.66,4.9001035603838,0.00105035569760973,0.0251713026506972,0.00226403927561408
0.69,4.9001035603838,0.00103801395477505,0.0453982898341228,0.00224072642562257
0.72,4.9001035603838,0.00100585369183075,0.0981061970948988,0.0021806731072658
0.75,4.9001035603838,0.000958140989422349,0.176303318802838,0.00209178804499307
0.78,4.9001035603838,0.000899141708205842,0.272998275463599,0.00198197941762199
0.81,4.9001035603838,0.000833121520611821,0.381199805220134,0.00185915514957193
0.84,4.9001035603838,0.000764346709358575,0.493915984922893,0.00173122422156922
0.87,4.9001035603838,0.00069708293469858,0.604155733897945,0.00160609456137349
0.9,4.9001035603838,0.000635596286455981,0.704927197207851,0.0014916747483442
0.93,4.9001035603838,0.000584152478853987,0.78923925391931,0.00139587278928614
0.96,4.9001035603838,0.000547017756680874,0.850100036891207,0.00132659763750129
0.99,4.9001035603838,0.00052845771562237,0.880518279901823,0.00129175698055842
1.02,4.9001035603838,0.000527182502775271,0.882721014808432,0.00128892546801747
1.05,4.9001035603838,0.000527418957897064,0.882911457381827,0.00128875522094271
1.08,4.9001035603838,0.000527842773955756,0.883259840327,0.00128879232228178
1.11,4.9001035603838,0.000528439288413234,0.883761134048787,0.00128901945969717
1.14,4.9001035603838,0.000529193876100478,0.884410235335554,0.00128941933412661
1.17,4.9001035603838,0.000530091863150674,0.885202090335591,0.00128997462080127
1.2,4.9001035603838,0.0005311185597284,0.88613170343581,0.0012906678979947
1.23,4.9001035603838,0.000532259322079125,0.887193944626082,0.00129148190209656
1.26,4.9001035603838,0.00053349957719876,0.88838379684988,0.00129239946901706
1.29,4.9001035603838,0.000534824591974455,0.889696181104266,0.0012934031439504
1.32,4.9001035603838,0.00053621966301173,0.891126135017248,0.00129447547901527
1.35,4.9001035603838,0.000537670243248207,0.892668428397188,0.00129559937904635
1.38,4.9001035603838,0.000539161686989339,0.894318142652202,0.00129675757379494
1.41,4.9001035603838,0.000540679306446454,0.896070152760355,0.00129793265474358
1.44,4.9001035603838,0.000542208370613817,0.897919489122574,0.00129910713925023
1.47,4.9001035603838,0.000543734421569294,0.899860987333387,0.00130026415265165
1.5,4.9001035603838,0.000545242552700198,0.901889633027574,0.00130138577960361
1.53,4.9001035603838,0.000546718292535431,0.904000386492927,0.00130245518076147
1.56,4.9001035603838,0.000548146983716269,0.906188146175226,0.00130345498111947
1.59,4.9001035603838,0.000549513887159707,0.908447956152333,0.00130436766974457
1.62,4.9001035603838,0.000550804325461123,0.910774653538433,0.00130517593127436
1.65,4.9001035603838,0.000552003863817156,0.913163258816068,0.00130586289649905
1.68,4.9001035603838,0.000553097547511193,0.915608649097784,0.00130641058108552
1.71,4.9001035603838,0.000554070957288331,0.918105797768284,0.00130680219231452
1.74,4.9001035603838,0.000554909942794196,0.920649680938379,0.00130702146770572
1.77,4.9001035603838,0.000555604617854636,0.923235600413183,0.00130706167401433
1.8,4.9001035603838,0.000556141078160422,0.925858549483775,0.00130690725248494
1.83,4.9001035603838,0.000556504609947897,0.928513462452934,0.00130654078766901
1.86,4.9001035603838,0.000556680410376879,0.931195262243395,0.0013059445900063
1.89,4.9001035603838,0.000556653665278624,0.933898895918434,0.00130510101433569
1.92,4.9001035603838,0.000556409521519777,0.936619259708144,0.00130399229410345
1.95,4.9001035603838,0.00055593310309461,0.939351334572322,0.00130260057934208
1.98,4.9001035603838,0.000555209639539988,0.94209002945806,0.00130090839773137
2.01,4.9001035603838,0.000554244019364783,0.944820017571931,0.00129892387742714
2.04,4.9001035603838,0.000553281723835098,0.947404827202075,0.00129697113885626
2.07,4.9001035603838,0.000552399033556264,0.949805971179403,0.00129515014905731
2.1,4.9001035603838,0.000551594477729107,0.952026780009432,0.00129345837108916
2.13,4.9001035603838,0.000550866516676764,0.954070544355924,0.00129189325523548
