Mach,A,Cl,Cd,Cm
0.001,3.449047525963,0.0192508302438231,0.0279560441821367,-0.0106806766777608
0.1,3.449047525963,0.0192508302438231,0.0279560441821367,-0.0106806766777608
0.2,3.449047525963,0.0192508302438231,0.0279560441821367,-0.0106806766777608
0.3,3.449047525963,0.0192508302438231,0.0279560441821367,-0.0106806766777608
0.4,3.449047525963,0.0192508302438231,0.0279560441821367,-0.0106806766777608
0.5,3.449047525963,0.0192508302438231,0.0279560441821367,-0.0106806766777608
0.6,3.449047525963,0.0195937597641567,0.0582466601675133,-0.0103522724750376
0.7,3.449047525963,0.0214801209434028,0.224866798187832,-0.00854366889822033
0.8,3.449047525963,0.0241134842048,0.457468776481538,-0.00601970373106693
0.9,3.449047525963,0.0264551871014642,0.664308515581591,-0.00377504683629338
1,3.449047525963,0.027466568077054,0.753642717875782,-0.00280436062152355
1.1,3.449047525963,0.0273973293737588,0.754129160133341,-0.00284011649542836
1.2,3.449047525963,0.0272111459336568,0.755596737608548,-0.00293924271396001
1.3,3.449047525963,0.026940329015326,0.758057717444368,-0.00308309037236336
1.4,3.449047525963,0.0266171843481141,0.761524346435256,-0.0032530256913069
1.5,3.449047525963,0.0262740173945558,0.766009022954658,-0.00343039702519045
1.6,3.449047525963,0.0259431365998382,0.77152382502022,-0.00359656576463282
1.7,3.449047525963,0.0256568461369448,0.778081247647343,-0.00373288771209832
1.8,3.449047525963,0.0254482626156515,0.78569422466784,-0.00382177156632382
1.9,3.449047525963,0.0253513873634595,0.794377387671025,-0.00384677085868888
2,3.449047525963,0.0253983234273529,0.804142792845875,-0.00378897102151404
2.1,3.449047525963,0.0255138315762816,0.813293799752632,-0.00369585882039128
2.2,3.449047525963,0.0256023444968501,0.820217827592138,-0.00362648174072942
2.3,3.449047525963,0.0256654392178406,0.825053202440154,-0.00357922996738702
2.4,3.449047525963,0.0257046861126876,0.827938021646346,-0.00355250020157495
2.5,3.449047525963,0.0257216605378763,0.829010505042333,-0.00354467717127501
2.6,3.449047525963,0.0257179400293872,0.828408997059483,-0.00355415116446487
2.7,3.449047525963,0.025695207639102,0.826271622500525,-0.00357948661117691
2.8,3.449047525963,0.0256565461463035,0.822736785515382,-0.0036212623056451
2.9,3.449047525963,0.0256038886510343,0.817942789117367,-0.00367840011439515
3,3.449047525963,0.0255386877104001,0.812027805364594,-0.00374910552208739
3.1,3.449047525963,0.0254624014570895,0.805130104074748,-0.00383160333247854
3.2,3.449047525963,0.0253764804585576,0.797387828710546,-0.00392410466756765
3.3,3.449047525963,0.0252823761155109,0.788939193573941,-0.00402482816317418
3.4,3.449047525963,0.0251815470354378,0.779922378516393,-0.00413198474826751
3.5,3.449047525963,0.025075424265813,0.77047570775602,-0.00424375800696162
3.6,3.449047525963,0.0249653862347878,0.760737303589233,-0.00435821889456911
3.7,3.449047525963,0.0248528552083803,0.750845381626993,-0.0044735360286076
3.8,3.449047525963,0.0247392749159675,0.740938103935354,-0.00458791330730765
3.9,3.449047525963,0.0246261072135301,0.731153791347089,-0.00469958242857631
4,3.449047525963,0.0245148111249649,0.721630571190628,-0.00480676970979038
4.1,3.449047525963,0.0244060201780146,0.712505978194678,-0.00490661677336175
4.2,3.449047525963,0.0243001082714566,0.703916615208231,-0.00499594416353744
4.3,3.449047525963,0.0242002853260117,0.696002328175952,-0.00507527625314262
4.4,3.449047525963,0.0241096037045704,0.688903417602305,-0.0051448971619863
4.5,3.449047525963,0.0240311102546825,0.682759996892296,-0.00520509315480079
4.6,3.449047525963,0.0239678533378234,0.677712302423193,-0.00525614986069333
4.7,3.449047525963,0.0239228773648477,0.673900484756199,-0.0052983522924586
4.8,3.449047525963,0.0238992294926683,0.671464749012548,-0.00533198312313024
4.9,3.449047525963,0.0239001179441428,0.670545444933402,-0.0053575375100569
5,3.449047525963,0.0239843777220429,0.671335194477321,-0.00544827216056431
5.1,3.449047525963,0.024140306528479,0.672961463946123,-0.00561181062868343
5.2,3.449047525963,0.0243144924422298,0.6744024202096,-0.00580438590886844
5.3,3.449047525963,0.024471994457194,0.675622635769624,-0.00598044825406276
5.4,3.449047525963,0.0245778742848566,0.676586788902503,-0.0060944474984432
